Source,Destination,Protocol,SrcPort,DstPort,DataSize,Duration
18.182.32.116,218.106.117.236,6,21585,55190,1432,2501.645
202.114.0.240,171.113.110.72,6,993,5770,1426,2502.079
222.192.186.76,218.197.243.92,6,80,5029,1424,2502.219
101.67.46.5,218.106.117.236,17,28203,55168,1420,2502.336
115.156.142.196,104.16.5.101,6,41072,443,1420,2502.392
58.248.179.151,183.95.73.88,17,17939,55529,1399,2502.522
116.153.40.81,183.94.22.78,6,443,43898,1399,2502.534
183.92.0.92,218.106.117.236,17,57192,34371,1397,2502.709
27.44.204.233,218.106.117.229,6,21000,51630,1397,2503.03
218.106.117.236,61.243.13.87,6,52261,443,1395,2503.083
192.40.4.102,202.127.251.49,6,773,38096,1394,2503.162
121.194.5.14,115.156.141.121,6,443,60084,1394,2503.181
218.106.117.234,180.126.221.200,17,13441,26416,1393,2503.346
115.156.142.89,121.194.11.72,6,59654,443,1372,2503.514
115.156.143.172,203.119.174.148,6,50488,443,1367,2504.096
114.100.248.121,202.114.0.250,6,12146,443,1362,2504.28
183.95.73.16,119.45.2.92,17,45823,443,1344,2504.455
45.121.184.6,115.156.141.116,17,27060,52022,1341,2504.683
101.28.132.87,183.95.73.35,6,80,60465,1339,2504.737
58.19.27.13,119.36.225.73,6,54228,443,1328,2504.819
183.93.186.134,183.94.22.86,17,56536,46717,1323,2504.909
43.137.191.242,115.156.250.84,17,10188,57552,1316,2505.197
183.94.22.28,58.19.160.172,6,44404,443,1301,2505.229
119.98.56.9,115.156.143.27,17,4454,58794,1300,2505.275
122.195.90.165,218.106.117.236,6,7824,45120,1298,2505.545
222.20.63.19,175.27.207.208,17,34482,443,1298,2505.617
202.114.212.184,122.226.153.50,17,21264,15000,1297,2505.783
43.141.49.209,115.156.141.141,6,443,43184,1292,2506.063
115.156.144.126,43.141.69.166,6,51032,443,1289,2506.083
183.95.73.61,122.195.90.176,6,42978,7824,1288,2506.139
106.2.68.222,218.106.117.236,17,28264,21087,1275,2506.277
121.5.96.13,218.106.117.229,6,443,39258,1270,2506.305
110.249.203.210,183.95.73.28,17,9681,8138,1260,2506.482
115.156.143.96,106.55.130.162,17,4012,8000,1259,2506.577
58.144.195.60,183.95.73.18,6,443,39088,1259,2506.625
183.95.73.37,119.36.140.227,6,48910,80,1256,2506.854
157.255.246.60,183.94.22.64,17,8009,48499,1253,2507.288
115.156.143.141,36.212.2.51,6,38472,29100,1253,2507.494
218.106.117.236,119.36.175.53,6,54737,443,1253,2507.505
115.156.141.126,117.143.100.70,17,43502,4605,1252,2507.543
222.141.152.94,183.94.22.61,17,29183,39131,1250,2507.581
183.95.73.48,61.240.206.12,6,44244,443,1245,2507.731
61.241.55.177,183.95.73.73,17,3478,54977,1242,2507.944
222.192.187.240,115.156.143.156,6,80,57479,1240,2508.095
101.68.161.213,183.95.73.26,17,12808,8134,1229,2508.198
218.197.197.129,203.119.238.153,17,49854,443,1225,2508.244
183.95.73.11,124.162.180.130,17,53199,32955,1225,2508.466
202.206.209.136,210.42.108.5,6,52577,443,1219,2508.603
115.156.144.156,43.137.208.115,6,51715,443,1216,2508.702
115.156.142.194,124.237.176.191,6,59418,443,1215,2508.814
115.156.143.137,104.37.173.83,6,42538,80,1213,2508.819
171.41.17.7,115.156.141.241,17,26048,50117,1213,2508.888
14.145.6.69,183.95.73.73,17,60568,7800,1185,2508.893
119.138.207.68,115.156.144.166,17,30696,37743,1172,2508.972
58.205.215.150,115.156.143.70,6,443,38776,1161,2509.245
183.95.73.29,220.202.20.248,6,57114,443,1154,2509.446
183.94.22.40,182.129.59.184,17,52827,23653,1153,2509.537
115.156.144.146,175.27.57.158,6,39840,443,1152,2509.591
218.106.117.236,39.163.110.174,17,53527,45344,1148,2509.691
115.156.144.214,125.109.28.147,6,55790,28410,1143,2509.775
42.56.133.119,183.95.73.86,17,39210,6778,1142,2509.864
116.153.82.199,183.95.73.82,6,80,57757,1136,2509.918
124.250.115.156,115.156.143.142,6,7804,5081,1136,2510.017
119.45.2.92,183.95.73.16,17,443,45823,1134,2510.12
43.142.215.98,115.156.141.225,6,443,61732,1134,2510.132
183.95.73.99,220.196.160.223,17,60158,3478,1120,2510.318
218.106.117.236,113.56.189.63,6,55680,443,1117,2510.32
115.156.143.213,121.194.11.72,6,57672,443,1116,2510.417
183.94.22.67,42.229.178.154,17,20929,18036,1114,2510.835
115.156.142.145,17.32.194.2,6,61890,443,1109,2510.918
115.156.144.39,59.68.43.68,17,9843,5447,1108,2511.151
153.99.245.229,183.95.73.88,17,23462,55470,1108,2511.423
182.204.222.86,115.156.141.201,17,25810,54351,1106,2511.534
183.95.63.26,183.95.73.60,1,,,1105,2511.731
210.72.70.194,115.156.144.213,17,7560,8779,1100,2511.852
116.132.223.91,218.106.117.236,6,1500,47366,1088,2512.08
122.195.90.150,183.95.73.79,6,443,60517,1080,2512.26
157.148.36.183,183.94.22.31,6,443,58331,1078,2512.454
98.97.80.229,115.156.141.239,17,36395,44706,1078,2512.47
112.132.119.67,218.106.117.232,6,443,37846,1073,2512.575
116.148.161.135,218.106.117.236,6,443,38786,1070,2512.637
47.98.146.111,115.156.141.199,6,3724,51931,1056,2512.967
58.49.156.81,218.197.232.187,6,80,50970,1044,2513.275
183.94.22.52,183.94.99.9,17,3476,41942,1044,2513.709
114.250.67.33,183.95.73.61,6,443,53462,1039,2513.937
101.71.17.158,183.94.22.17,17,14023,49669,1038,2514.19
218.106.117.235,117.22.124.161,17,7401,58261,1031,2514.322
115.156.141.228,222.192.187.253,6,38528,80,1023,2514.431
115.156.144.205,101.236.69.94,6,46072,443,1021,2514.559
36.249.48.211,183.94.22.81,17,4782,33318,1018,2514.607
81.69.116.86,115.156.141.224,17,443,43505,1010,2514.988
122.191.18.197,183.94.22.16,6,443,59554,1008,2515.015
115.156.141.92,139.155.64.113,6,45146,443,1007,2515.049
183.95.73.53,112.80.183.81,6,11180,5223,1002,2515.094
222.20.69.187,203.119.204.187,6,60439,443,991,2515.099
115.156.142.198,63.176.187.54,6,60889,443,990,2515.519
115.156.143.50,13.89.179.8,6,61362,443,980,2515.851
58.19.160.172,183.94.22.28,6,443,44404,968,2515.927
115.156.144.124,156.238.222.66,6,45838,443,963,2516.007
115.156.141.198,185.152.67.145,17,42643,9993,961,2516.022
125.39.122.145,183.94.22.28,6,80,59390,959,2516.085
115.156.144.74,182.61.200.108,6,23948,80,955,2516.126
122.205.53.135,27.18.239.248,17,57549,60941,955,2516.465
182.61.200.107,115.156.144.118,6,443,39640,952,2516.619
115.156.217.185,42.194.252.114,6,1736,443,952,2516.629
211.91.233.147,183.94.22.52,6,443,9500,949,2516.741
115.156.141.60,210.42.68.4,6,48202,80,948,2517.289
204.10.194.55,115.156.142.11,6,55265,51833,947,2517.375
115.156.144.182,180.76.76.200,6,50786,443,942,2517.471
115.156.141.163,43.137.153.213,17,54242,8005,935,2517.716
115.156.143.75,180.76.76.112,6,61976,80,930,2517.797
183.94.22.74,192.144.148.85,6,53798,7824,927,2517.822
183.95.73.76,119.36.166.74,6,52447,443,927,2518
115.156.141.215,183.168.162.229,6,8519,443,924,2518.12
218.104.111.114,183.94.22.170,17,53,27661,922,2518.334
183.95.73.92,123.156.109.1,17,20631,61996,919,2518.4
222.243.111.34,183.95.73.21,17,60098,60786,914,2518.621
58.19.27.96,101.67.20.167,17,46016,443,894,2518.699
219.151.141.178,115.156.141.56,6,443,55021,883,2518.741
183.94.22.97,17.57.145.135,6,57184,5223,880,2518.749
183.95.73.17,175.27.33.105,6,4061,443,880,2518.802
222.218.143.76,115.156.142.6,6,57962,41290,867,2518.939
113.56.189.162,218.106.117.236,6,443,5522,864,2519.213
115.156.141.66,43.137.247.234,6,43662,443,860,2519.245
183.94.22.44,61.241.148.252,6,56216,80,860,2519.773
115.156.143.79,183.47.102.213,6,40508,8080,858,2519.937
157.255.219.80,183.94.22.95,6,8080,50524,856,2519.977
122.189.225.47,218.106.117.233,6,80,45024,855,2520.081
116.178.236.153,183.95.73.98,6,80,44944,853,2520.138
119.36.90.80,183.95.73.87,6,443,49767,852,2520.874
222.192.186.73,115.156.144.177,6,80,37314,849,2521.101
115.53.141.50,183.95.73.33,17,5145,8568,848,2521.141
183.94.22.98,122.189.171.106,6,39602,80,844,2521.244
115.156.143.229,210.42.68.4,6,59468,80,841,2521.275
58.19.27.17,122.191.18.54,6,53369,19999,840,2521.346
